	gene	pops
341	NUP157	P2G08;P2C10;P3G02;P3G11;P3G11;P3C05;P1F08;P3D05
342	LCP5	P2G08;P1C02
343	TOG1	P2G08;P3B10;P1C07
344	BLM10	P2G08;P3C05
345	RTG2	P2G08;P2D06
346	ADE5,7	P2G08;P2C10;P1C11;P1C11;P3G02;P1C02;P1C02;P3G06;P1F07;P1B11;P3F11;P1B02;P3C07;P2G05;P3C10;P3D03;P3D10;P2B07;P3F05;P3D02;P2G10;P3E08;P2F09;P1E04;P1E04;P3F07;P2E06;P3F03;P3G09;P3G10;P2D11;P2C11
347	NCS6	P2G08;P1E04
348	MCM6	P2G08;P3G06;P1G05;P3D11
349	ALK1	P2G08
350	CLD1	P2G08
351	YAP1802	P2G08;P3G10;P2D06
352	YHK8	P2G08;P2F09
353	FLO5	P2G08;P1E04;P1E04;P1E04;P1E04
354	MNN14	P2G08;P1C06;P1C02;P1C02;P3G11;P3C04;P3C04;P1G04;P3D10
355	YPT52	P2G08
356	YLR110C;YLR110C;YLR110C	P2G08;P2C10;P1G10
357	YCS4	P2G08;P3F05
358	SWC7	P2G08;P3F03
359	NAB6	P2G08;P2B04;P3C03;P3F07;P2D11;P2D06
360	TAF8	P2G08;P3C10;P2B05;P2E06
361	NUP188	P2G08;P3C04;P3F05;P2E06;P2D08;P2D11;P3F09;P2C11
362	HMG1	P2G08;P1B11;P3F05;P3B11
363	SPT5	P2G08;P3C04;P2E06;P2D08;P3F09
364	MYO5	P2G08;P3D09;P2C04;P1B07;P2G04;P1C07
365	YKU70	P2G08;P2B10;P3D05
366	RAD50	P2G08;P3C05;P1E04;P1G08
367	TOP2	P2G08;P2D03;P3E08;P2B05;P1G08
368	SFB2	P2G08;P3C03;P3F05
369	HRD1	P2G08
370	CRC1	P2G08
371	ADE2	P2G08;P3C05;P2F07
372	MCT1	P2G08;P1C08;P1G04
373	GDE1	P2G08;P2G08;P2C10;P2D03;P2C04;P1F07;P3C03;P2B07;P2D08;P1C07;P2C11
374	BRO1	P2G08;P3E11
375	SUR1	P2G08;P3D09;P1C11;P1E04;P1E04;P3D05;P1C07;P3F09;P3E11
376	IRC15	P2G08;P1F08
377	ALK2	P2C10
378	PFF1	P2C10;P1F08
379	MRPS9	P2C10
380	PDB1	P2C10;P1E04
381	EMC1	P2C10;P3D05;P1F05;P2C02;P2C02
382	FIG2	P2C10;P2B04;P2B04;P3G10;P3E02
383	GYP7	P2C10;P2B04;P3C03;P2B05;P3B11;P2G09
384	BPL1	P2C10;P2C02
385	YET3	P2C10
386	NEO1	P2C10
387	PDR11	P2C10;P1G05;P2B05
388	PCM1	P2C10;P2D03
389	GIP2	P2C10;P3G05;P1G10
390	BOI2	P2C10;P1C02;P2G11;P1B04
391	COG3	P2C10;P2B10;P2C02
